objectid,parentid,filename,title,date,venue,playwright/composer,director,scenic designer,costume designer,lighting designer,technical director,music director,choreographer,sound designer,projection designer,dramaturg,intimacy director,production students,ensemble,collaborators,description,format,type,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,subject,location,latitude,longitude,source,identifier,type,rights,rightsstatement
SSWBCol,,,Songs of the Scarlet and Wayback,2024-03,Flanagan Studio Theatre,Jen Shook,Jen Shook,Lucie Greene '23,Erin Howell-Gritsch,Cat Cusick,Erik Sanning '89;Kate Baumgartner '11,Andra Velis Simon,,,,Maya Albanese '26,,Libby Kerensky '24;Kiera Rennick '26;Lily Blanchard '27,Libby Albright '27;Jadyn Al-Fatah '27;Maia DeGrazia '24;Ali Levine '24;Levi McMillan'27;Aisha Saparali;Hemlock Stanier '25;Amelia Vrieze '26;Lohla Yarolimek '27;Brisa Zielina '27,,,compound_object,,,compound_object,,,,,,,,,,,,,,
folokotoCol,,,Folokoto the Tornado,2024-04,Roberts Theatre,,Aguibou Bougobali SANOU,S. Benjamin Farrar,Erin Howell-Gritsch,S. Benjamin Farrar,Erik Sanning '89;Kate Baumgartner '11,,,,,,,,,,,compound_object,,,compound_object,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everybodyCol,,,Everybody,2023,Flanagan Studio Theatre,George R. R. Martin,Karie Miller,Jane Doe,,Johnny Bravo,,Justin Bieber,Tom Cruise,,,,,,,,,compound_object,,,,,,,,,,,,,,,,,
everybody001,everybodyCol,everybody_posterdraft.pdf,Poster,2023,,,,,,,,,,,,,,,,,,application/pdf,,eng,,,,,,,,,,,,,,,
everybody002,everybodyCol,everybody_PG.pdf,Program,2023,,,,,,,,,,,,,,,,,,application/pdf,,eng,,,,,,,,,,,,,,,
everybody003,everybodyCol,Everybody00001.jpg,1,2023,,,,,,,,,,,,,,,,,,image/jpeg,,eng,,,,,,,,,,,,,,,
everybody004,everybodyCol,Everybody00002.jpg,2,2023,,,,,,,,,,,,,,,,,,image/jpeg,,eng,,,,,,,,,,,,,,,
